Site,longitude,latitude,B data max,B 100-year,E data max,E 100-year
GAY53,-83.548306,33.209515,666.6223479035755,692.8663274854378,1.7915053680806534,2.0115322229160437
GAY54,-82.777392,33.209939,681.0356817407948,720.9920347975949,0.6937251779617817,0.7096351779851953
GAY55,-82.103457,32.955327,687.8439794389501,726.2234142625015,0.624291168388758,0.6678921222292729
GAZ52,-84.588887,32.598555,647.5176102143218,681.631616997099,3.4209115687058107,4.117756940686331
GAZ53,-83.875652,32.514621,658.1623271288461,689.4961426310051,0.8600136802193862,0.9615246081444484
GAZ54,-83.149472,32.585721,669.6576240711742,699.8594978569663,0.6704895937712361,0.6045717450219117
GAZ55,-82.416044,32.488487,677.3046224186437,727.9089286767968,0.813033266764925,0.7223320792568086
GAZ56,-81.569886,32.260563,678.1965086534232,781.1394942122986,0.6950506824311313,0.7490696984269505
IAJ34,-95.959061,43.341154,1197.1850814710604,1407.3452657389623,0.9024028794821828,1.0228222043923165
IAJ35,-95.255398,43.410294,1218.7672405456744,1428.8936303922533,1.064706349790991,1.1873713497141036
IAJ36,-94.425679,43.310219,1214.8786973556162,1425.6446800604133,0.4475791338439337,0.399416031682141
IAJ37,-93.553132,43.252632,1216.1268532791155,1453.2025123578005,1.5078776163307521,1.6072041574483427
IAJ38,-92.45966,43.235556,1228.9575339757876,1475.0910806621332,1.3208613988652562,1.4610098237626215
IAJ39,-91.645571,43.326037,1254.602407285506,1556.5892707144621,2.0866922892716087,2.225196931610334
IAK34,-96.305524,42.699812,1086.200415293071,1287.2306947537743,1.2590059323184337,1.455758413604205
IAK35,-95.44958,42.636925,1088.8995409385952,1301.5667736185273,1.6077746178543961,1.748495079222348
IAK36,-94.54256,42.653462,1106.0170445107235,1326.6641187610605,0.8256965031793083,0.7723304422262867
IAK37,-93.53009,42.700702,1126.3092818795678,1356.8980861014268,2.6660741599721463,2.9250466103996526
IAK39,-91.925744,42.534121,1121.10175027696,1382.7395237996361,1.9405044936651,2.461200817968747
IAK40,-91.11625,42.61664,1144.8549262200304,1451.6754153742527,1.121601734957705,1.3474263990730106
IAL35,-95.62437,42.203156,1019.9579901086022,1206.6282409568844,1.298010855633443,1.3931359977758664
IAL36,-94.669041,42.108895,1021.0643587217788,1239.9151050565067,1.1945133221854678,1.382768277496879
IAL37,-93.879865,42.006442,1016.5825008630843,1254.721539778336,1.220689023488195,1.317187895146763
IAL38,-93.03849,42.097332,1040.4654072073595,1305.5030579709382,0.3039886732288104,0.30244339071587156
IAL39,-92.115706,42.093177,1052.8620996159887,1322.803389408072,1.5575850932357158,1.763160147920555
IAL40,-91.209352,41.991686,1055.1471987510224,1353.499514723321,1.5591842814441392,1.739546036534708
IAL41,-90.398566,41.951988,1062.8156688564627,1442.870168138701,1.7707159427177748,1.9950224102607184
IAM35,-95.854869,41.400887,1007.5087853777624,1156.126026322754,1.3230783354688938,1.4808181900270436
IAM36,-94.982618,41.431702,1005.1195611881221,1204.8746373741053,1.4100934195899437,1.4785434352040325
IAM37,-93.939202,41.477624,1001.8732777795658,1218.4690341779753,0.6695712175237118,0.5730453615463602
IAM38,-93.087055,41.427761,998.3705235625504,1225.2629183641075,1.6511915783308115,1.7674233181560415
IAM39,-92.124403,41.387179,994.7156983929924,1233.720803418534,1.3164832018229264,1.5139320785936166
IAM40,-91.407976,41.386974,992.3328731397725,1269.082332058675,1.8402686185600405,1.9932624992635475
IAN36,-95.131737,40.790038,995.416925419446,1076.0668307660958,0.38418725803131687,0.3353141007366971
IAN37,-94.027281,40.855027,994.274522453328,1115.3947314538746,0.8028759492776409,0.9012115930843727
IAN38,-93.395085,40.705367,990.0418348322951,1106.6659209109903,0.6854719657967212,0.8348378086247106
IAN39,-92.456481,40.784371,989.1842110066901,1150.7903997303617,1.1126427410921744,1.3048347673366856
IAN40,-91.596075,40.768169,986.9139811701641,1197.3585356214946,0.9652410656388685,1.1699076209715988
IDA11,-116.443877,48.935389,1859.845454523378,2097.6501533107617,0.15062959280248583,0.21728103892235023
IDC11,-116.273,47.839025,1834.405914219493,2120.468882220336,0.08529703553553997,0.13334328886817948
IDD11,-116.345982,47.043986,1651.670957359816,1925.0478250320432,0.7477515245989002,0.8727747086221337
IDD12,-115.348,47.0478,1665.4571785143598,1895.4767987336077,0.16545952062462999,0.24137677408528085
IDE11,-116.212965,46.353,1461.4336368124536,1726.6783507094717,1.1388838277291755,1.1557046670079276
IDE12,-115.582,46.3871,1492.2161966311567,1738.2304862373674,0.8008640076433813,1.1143077575090339
IDF11,-116.157113,45.889496,1357.325638561823,1598.9847521748948,0.37942348761187306,0.4441801848476211
IDF12,-115.223,45.766596,1363.8077788013143,1572.905269526939,1.3513236801136792,1.1806807324851494
IDG11,-116.279018,45.398996,1247.018288901425,1498.1930152227026,0.14367269443546352,0.18562538410632723
IDG12,-115.347,45.0779,1188.5002209642857,1411.9460430718393,0.5264991788406734,0.6261192599632881
IDG13,-114.154,45.13655,1243.231833379238,1452.7953304885586,0.11446455021534029,0.10036774072818684
IDH10,-116.692106,44.646105,1076.5565130630873,1348.818322139801,0.38639793302077485,0.40326468248014985
IDH11,-116.00997,44.714194,1103.4433945378407,1362.8149295680194,0.29330701628867634,0.33404162008678157
IDH12,-114.846805,44.558382,1124.9326648932067,1337.8921881438707,0.732271839484348,0.7255946932566923
IDH13,-114.325,44.5454,1136.4871082085137,1342.5077725082194,0.12637561858492483,0.12679306375448124
IDH14,-113.433,44.610875,1157.1522942775086,1403.3173118634245,0.05571683568588564,0.0626228694665257
IDI10,-116.830077,44.052006,1021.2571151848052,1201.482277330399,0.09977603677886875,0.09507566916051619
IDI11,-115.962003,43.917462,1043.4181385617674,1209.2274502277778,0.21644170959214679,0.27205471592852304
IDI12,-115.101,43.8198,1065.7847109976228,1202.6455560196687,0.21608529172341168,0.27651595548742736
IDI13,-114.126,43.9374,1103.562742467597,1273.013876231539,0.058654873967746,0.05590058547866575
IDI14,-113.22,43.9464,1125.8892152044575,1292.6211429758193,0.2258040440494753,0.21250963968908115
IDI15,-112.453,43.982975,1142.656019740878,1299.4360341669105,0.15667712590849112,0.21090596485145754
IDI16,-111.473,43.9686,1155.7830511230925,1256.0470469500603,0.2186249612212008,0.2847637815789311
IDJ10,-116.789951,43.463014,963.3297301207658,1095.88561395229,0.17977032643442414,0.1801489043493586
IDJ11,-115.936966,43.436306,997.4406173511217,1113.63822150409,0.19776825065422365,0.26398776597622364
IDJ12,-115.137,43.3112,1016.0498079415282,1137.7379631568874,0.34178424664580304,0.3087806998875206
IDJ13,-114.071,43.337,1055.1159022961276,1170.475114308572,0.02469519526346715,0.026507794654182362
IDJ14,-113.271,43.3865,1082.8537945504393,1159.673319867368,0.14136752614815357,0.13163965105728537
